,created_at,tweet,sentiment,label
0,11/14/2022 21:39,halo indonesia bal ambil helat ktt g harap diskus pimpin dunia isu global,-1,negatif
1,11/14/2022 19:35,g rp miliar habis siap laksana rangkai temu g kendara listrik keluar baru siap fasilitas super mewah siap jabat negara keluarga,7,positif
2,11/15/2022 8:03,indonesia pegang ketua g desember posisi presidensi g percaya sempat indonesia kontribusi pulih ekonomi dunia tata kelola dunia sehat adil lanjut,15,positif
3,11/16/2022 10:07,bem mpm sejayapura tolak ktt g,-4,negatif
4,11/16/2022 10:07,polri patroli tebal aman acara puncak ktt g dorong ekonomi dunia,0,netral
5,11/16/2022 10:07,indonesia mepersiapkan matang acara g keren,0,netral
6,11/16/2022 10:07,sianjerrr pa basuki hubung masyarakat g wkwkwkwk,-4,negatif
7,11/16/2022 10:07,g rusia bal nato sarap ronaldo wendy sepatu anak potong rp dapat shopee,3,positif
8,11/16/2022 10:07,presidensi g milik output perekomian dunia dorong ekonomi dunia,3,positif
9,11/16/2022 10:07,dukung laksana g sukses,7,positif
10,11/16/2022 10:07,ksad dudung ar damping presiden joko widodo laksana tactical floor game tfg aman presidensi g dar ksad jenderal dudung abdurachman angkat darat hati rakyat tulus utama rakyat,13,positif
11,11/16/2022 10:07,ktt g aman lancar kondusif polri laksana patroli skala dorong ekonomi dunia,7,positif
12,11/16/2022 10:06,selamat sukses g indonesia,8,positif
13,11/16/2022 10:06,ktt g bal trend topic twitter kakak perempuan pucuk vincent jisung hyung grammy donald trump best of the best,0,netral
14,11/16/2022 10:06,presidenai g indonesia tolong maju ekonomu indonesia dunia dorong ekonomi dunia,5,positif
15,11/16/2022 10:06,pimpin negara gabung g hadir rangkai giat ktt g dorong ekonomi dunia,-6,negatif
16,11/16/2022 10:06,agenda ktt g tutup jamu makan lotus pond garuda wisnu kencana gwk bal selasa malam ragam tari nusantara tampil acara,-4,negatif
